Question,Answer
What is MTN Data bundle?,MTN Data bundles are affordable data plans designed to give access to the internet through data enabled devices. It is usually within a defined unit of bytes and at a pre-determined price for a definite period and MTN has a robust bouquet of bundles that suits all lifestyle.
Who can subscribe to MTN Data bundle?,All MTN Customers can subscribe to any MTN Data bundle.
What are the different MTN Data bundle plans available?,"They are Daily, Weekly, Monthly, Bi-monthly, Quarterly, Bi-annually, and Yearly."
How do I subscribe to MTN Data bundles?,
A. You can subscribe to any MTN data bundles via the following channels:
USSD: Dialling *3121# and selecting your preferred data plan.
B. SMS: Sending the bundle plan keyword to 312.
myMTN App: Text myMTN to 5018 to download the app.myMTN WebMTN TopIt/VTUZigiFacebook (Mobile Center)Google
"I received a pop-up menu to choose either Auto-renewal, One-off, or Buy for a Friend when activating a data bundle. What does this mean?","The pop-up menu is a feature that allows you to set your data bundle on Auto-renew or One-off purchase, and to Buy for a Friend:Auto-renew Purchase means that your data bundle will automatically renew after expiry provided you have enough airtime on your line.One-off Purchase means that your data bundle will not renew after expiry date even with the sufficient airtime.Buy for a Friend option allows you to buy a data bundle for another line with your airtime."
"If I exit the pop-up menu or it times out before selecting an option, will my data bundle be on Auto-renewal or One-off option?","If you are buying a data bundle via SMS and it exits the pop-up menu, or it times out before selecting an option, the data bundle would be activated as One�off purchase. But, if you are buying the bundle via USSD you will not be able to proceed to buy the data bundle until you select an option of either one-off, auto-renewal or buy for a friend."
"If my data bundle is activated on One-off, will I be able to opt in for Auto-renew or renew the bundle?","Yes, you will be able to opt in for Auto-renewal or renew the bundle by sending R+bundle code to 312.Example: If you have an active 100MB daily bundle that is on One-off option, you will be able to renew it by sending R104 to 312."
Will I be able to cancel auto-renewal anytime?,"Yes, you will be able to cancel auto-renewal on your bundle anytime by sending NO+bundle code to 312."
How do I check my MTN Data Bundle balance?,"You will be able to check your data bundle balance via the following channels:SMS: Texting 2 to 312USSD: Dialing *312*4# (for main data bundle and bonus), or *310#myMTN AppmyMTN WebZigi"
Can I purchase multiple MTN Data bundles?,"Yes, you can activate multiple data bundles and all the data bundle purchased will have its own unique expiry dates."
"If I have multiple data bundles active, which bundle will deplete first?","If you have multiple data bundles active on your line, the data bundle with the least validity will be used first. Example: If you have a 30-day bundle plan and 1-day plan both active on your line, the 1-day plan will be used first before the 30 days plan."
What happens if I exhaust my data bundle before the renewal date?,"As soon as you exhaust your data bundle before the expiry, your data access will be suspended, and you will not be able to browse again. To continue browsing, you will need to do one of the following:Buy another data plan by dialing *312*1# or *904#.Borrow data by dialing *303#.Opt-in for Pay-As-You-Go browsing by dialing *312*200# to continue browsing with your airtime at N3.07/MB.Request data from a friend via *321*2*3#."
I noticed that some data plans have additional voice minutes when I tried to buy the bundles. What does this mean?,"Yes, some data bundle plans now have additional voice minutes. This means that when you buy any of the select bundles, you will also be able to call your friends and family from the additional voice minutes."
Will I be able to use the voice minutes to call all networks in Nigeria?,"Yes, you will be able to call all numbers in Nigeria with the voice minutes you get from the purchase of the data bundle.Note: You will not be able to call international numbers and Nigeria from the voice bundle while roaming. You will also not be able to call international numbers with the voice bundle."
At what rate will I be charged when I call from the voice bundle?,"You will be charged at the rate of 13k/sec when calling from the voice minutes. Once you have exhausted the voice minutes, charges will be taken from your main account or any other voice bundle on your line."
"If I have the voice minutes and other voice bundles/bonuses active on my line, which bundle/bonus will first be charged?","The bundle/bonus on your line with the closest expiry will be charged first for calls. However, if you have multiple bundles/bonuses with the same expiry, the voice minutes will be charged before the other voice bundles/bonuses on your line."
Will I be able to enjoy data bonus offers when I activate a data bundle?,"Yes, you will be able to enjoy 25%, 50%, 100%, and any other bonus offers you are eligible for on the network whenever you buy a data bundle. The offer includes: � 100% 4G Upgrade Bonus: this offer is available only on select data plans from N15,000 and below beginning from month 1 to month 3 after upgrading your SIM to 4G. � 25% 4G Upgrade Bonus: you will be able to enjoy 25% bonus on every data bundle you buy from month 4 to month 6 after upgrading your SIM to 4G. � 50% Device Bonus: you will get 50% bonus on every data bundle you buy with a newly activated phone/device. � Double Data Bonus: you will be able to enjoy double data (100% data bonus) only when you buy select data bundles from N15000 and below."
